Date,Site,Time,Air_temp,Wind_speed,Rainfall_accumulation,Rainfall_last_3hrs,Comment
02/05/2023,Silwood,00:00,9.1,0,0,,
02/05/2023,Silwood,03:00,7.6,0,0,0,
02/05/2023,Silwood,06:00,9.4,0,0,0,
02/05/2023,Silwood,09:00,11.2,0.3,0,0,
02/05/2023,Silwood,12:00,12.6,0,0,0,
02/05/2023,Silwood,15:00,15.5,0.6,0,0,
02/05/2023,Silwood,18:00,16.4,0.6,0,0,
02/05/2023,Silwood,21:00,10.9,0.6,0,0,
03/05/2023,Silwood,00:00,7.6,0,0,0,
03/05/2023,Silwood,03:00,4.9,0,0,0,
03/05/2023,Silwood,06:00,3.7,0,0,0,
03/05/2023,Silwood,09:00,11.4,1.4,0,0,
03/05/2023,Silwood,12:00,15.4,0.8,0,0,
03/05/2023,Silwood,15:00,17,5.7,0,0,
03/05/2023,Silwood,18:00,14,1.6,0,0,
03/05/2023,Silwood,21:00,9.8,0,0,0,
04/05/2023,Silwood,00:00,8.4,1,0,0,
04/05/2023,Silwood,03:00,7.3,0,0,0,
04/05/2023,Silwood,06:00,7.5,0,0,0,
04/05/2023,Silwood,09:00,13.4,0,0,0,
04/05/2023,Silwood,12:00,17.3,1.1,0,0,
04/05/2023,Silwood,15:00,18.9,1.9,0,0,
04/05/2023,Silwood,18:00,18.6,1,0,0,
04/05/2023,Silwood,21:00,14.3,0,0,0,
05/05/2023,Silwood,00:00,13.7,1.6,0,0,
05/05/2023,Silwood,03:00,12.4,0,0,0,
05/05/2023,Silwood,06:00,12.2,0,0,0,
05/05/2023,Silwood,09:00,14,0.3,0.5,0.5,
05/05/2023,Silwood,12:00,16.9,3,0.5,0,
05/05/2023,Silwood,15:00,17.8,1,0.5,0,
05/05/2023,Silwood,18:00,19.1,1.9,0.5,0,
05/05/2023,Silwood,21:00,14.2,0,0.5,0,
06/05/2023,Silwood,00:00,12.2,0.2,0.5,0,
06/05/2023,Silwood,03:00,10.1,0,0,0,
06/05/2023,Silwood,06:00,10.7,0,0,0,
06/05/2023,Silwood,09:00,12.7,1.4,0.2,0.2,
06/05/2023,Silwood,12:00,12.9,2.5,4.3,4.1,
06/05/2023,Silwood,15:00,13.2,1.1,7.8,3.5,
06/05/2023,Silwood,18:00,13.8,0.6,8.6,0.8,
06/05/2023,Silwood,21:00,13.5,0.2,8.6,0,
07/05/2023,Silwood,00:00,12.4,0,8.6,0,
07/05/2023,Silwood,03:00,12,0,0,0,
07/05/2023,Silwood,06:00,12.1,1.6,0,0,
