Date,Site,Surveyor,Sample_point,Tree_ID,Long,Lat,Accuracy,Distance_from_water_body,Distance_from_building,Distance_from_woodland,Distance_from_woodland_edge,Distance_from_road,Distance_from_rail,Distance_from_any_artificial_light,Distance_from_streetlamp,No_streetlamps_within_10m,No_streetlamps_within_25m,No_streetlamps_within_50m,No_streetlamps_within_100m,Comments
02/05/2023,Barnes,Poorvi & Emma,B111,Sycamore,51.47065,0.23363,3,197,161,0,7,153,551,96,96,0,0,0,1,
02/05/2023,Barnes,Poorvi & Emma,B112,Birch,51.47092,0.2351,4,176,100,0,37,121,552,30,30,0,0,5,9,
02/05/2023,Barnes,Poorvi & Emma,B113,Oak ,51.47017,0.23432,3,252,125,0,11,90,488,29,29,0,0,2,6,
02/05/2023,Barnes,Poorvi & Emma,B121,Lamp post,51.47117,0.23616,3,262,141,31,31,65,896,0,0,1,2,8,17,Used phyiscal recording as point slightly out for streetlamp data
02/05/2023,Barnes,Poorvi & Emma,B122,Cherry?,51.42166,0.23792,6,107,37,0,13,13,570,17,17,0,4,10,23,
02/05/2023,Barnes,Poorvi & Emma,B123,False Acacia,51.47071,0.23726,3,221,169,0,0,9,485,18,18,0,1,4,13,
02/05/2023,Barnes,Poorvi & Emma,B131,Maple,51.46965,0.2358,3,339,183,0,7,7,401,20,20,0,2,3,8,
02/05/2023,Barnes,Poorvi & Emma,B132,False Acacia,51.46959,0.23741,3,337,151,0,7,7,360,6,6,1,2,5,15,
02/05/2023,Barnes,Poorvi & Emma,B133,Oak ,51.46891,0.23726,3,414,190,0,0,27,292,27,27,0,0,2,8,
02/05/2023,Barnes,Poorvi & Emma,B211,Oak ,51.46735,0.24058,3,520,94,0,36,27,55,27,27,0,0,5,13,
02/05/2023,Barnes,Poorvi & Emma,B212,Oak ,51.46766,0.24176,3,430,55,0,46,33,68,43,43,0,0,4,18,
02/05/2023,Barnes,Poorvi & Emma,B213,Horse Chestnut,51.46699,0.24169,3,537,80,0,0,32,34,14,14,0,3,7,26,
02/05/2023,Barnes,Poorvi & Emma,B221,Oak ,51.46805,0.2429,3,350,107,0,13,135,83,29,29,0,0,3,14,
02/05/2023,Barnes,Poorvi & Emma,B222,False Acacia,51.4686,0.24452,3,225,57,0,18,31,95,34,34,0,0,3,17,
02/05/2023,Barnes,Poorvi & Emma,B223,False Acacia,51.46773,0.24432,3,303,84,0,8,117,16,9,9,1,2,4,10,
02/05/2023,Barnes,Poorvi & Emma,B231,Oak ,51.46624,0.24302,3,490,99,0,17,17,86,15,15,0,2,9,28,
02/05/2023,Barnes,Poorvi & Emma,B232,Sycamore,51.46671,0.24397,3,409,132,0,56,101,56,32,32,0,0,3,11,
02/05/2023,Barnes,Poorvi & Emma,B233,Oak ,51.46587,0.24394,3,493,40,0,39,41,145,41,41,0,0,3,25,
02/05/2023,Barnes,Poorvi & Emma,B311,Horse Chestnut,51.47131,0.24412,3,9,32,82,82,52,358,20,20,0,1,3,17,
01/05/2023,Silwood,Poorvi & Emma,S111,Concrete fence pole,51.4146,0.65258,3,404,175,20,20,180,1520,175,175,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S112,Sycamore,51.41471,0.65095,8,195,175,0,20,280,1535,188,188,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S113,Oak,51.41383,0.65189,5,200,210,0,20,260,1460,266,266,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S121,Sycamore,51.41447,0.64945,5,110,95,0,27,240,1570,70,184,0,0,0,0,The manor house/building beside = source of artificial light 
01/05/2023,Silwood,Poorvi & Emma,S122,Silver birch,51.41408,0.64797,4,50,10,0,10,280,1600,15,239,0,0,0,0,The manor house/building beside = source of artificial light 
01/05/2023,Silwood,Poorvi & Emma,S123,birch,51.41358,0.64895,5,20,100,0,20,340,1500,100,282,0,0,0,0,The manor house/building beside = source of artificial light 
01/05/2023,Silwood,Poorvi & Emma,S131,Wooden Pole ,51.41306,0.65134,3,155,245,43,43,355,1365,319,319,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S132,"Not oak, oak shaped leaf",51.41295,0.65015,5,65,350,0,53,465,1410,403,403,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S211,Oak,51.41378,0.64383,5,238,140,10,10,235,1670,226,226,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S212,Oak,51.41365,0.64237,7,335,80,0,25,175,1680,180,180,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S213,Wooden Pole ,51.41299,0.64329,4,275,180,20,20,265,1590,268,268,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S221,Wooden Pole ,51.41342,0.64107,5,327,140,25,25,95,1730,108,108,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S222,Oak,51.41328,0.63945,5,250,110,0,55,55,1780,45,45,0,0,1,2,
01/05/2023,Silwood,Poorvi & Emma,S223,Oak,51.41275,0.64052,7,350,145,0,55,110,1660,110,110,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S231,Wooden Pole ,51.41213,0.64279,3,335,160,63,63,250,1535,256,256,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S232,Oak ,51.412,0.64152,6,440,124,0,35,150,1670,126,170,0,0,0,0,The gym = source of artificial light 
01/05/2023,Silwood,Poorvi & Emma,S233,Maple,51.41116,0.64221,5,315,75,0,5,220,1460,75,210,0,0,0,0,The gym = source of artificial light 
01/05/2023,Silwood,Poorvi & Emma,S321,Birch,51.40924,0.64654,7,35,227,0,51,391,1146,322,322,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S322,Birch,51.40923,0.64517,7,130,242,0,94,360,1185,271,377,0,0,0,0,Building = source of artificial light 
01/05/2023,Silwood,Poorvi & Emma,S323,Birch,51.40846,0.64621,6,69,170,0,50,292,1074,305,305,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S331,Wooden Pole Fence,51.40795,0.64851,5,90,75,5,5,214,958,183,183,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S332,Dead Tree,51.40762,0.64695,8,69,120,0,36,195,969,200,241,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S333,Electric pole,51.40701,0.64788,5,238,82,4,4,119,881,163,163,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,S411,Oak ,51.4104,0.64177,5,415,50,0,45,203,1380,50,200,0,0,0,0,The gym = source of artificial light 
01/05/2023,Silwood,Poorvi & Emma,S412,Ornamental ?,51.40933,0.64138,4,491,25,0,75,220,1320,5,220,0,0,0,0,Building = source of artificial light 
01/05/2023,Silwood,Poorvi & Emma,S413,Rowan,51.41029,0.64031,7,500,25,25,25,125,1430,5,101,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,SA,Oak,51.41265,0.16471,4,10,390,0,0,470,1450,397,397,0,0,0,0,
01/05/2023,Silwood,Poorvi & Emma,SG,Sycamore,51.41217,0.63938,8,345,70,0,15,15,1650,78,78,0,0,0,2,
