Number,Identifier,Transect,Point,Monitor,Distance_from_treatment,Location,Treatment,Date,Start_date,Time,com_pip_passes,com_pip_fb,sop_pip_passes,sop_pip_fb,nat_pip_passes,noid_pip_passes,noid_pip_fb,nls_passes,myotis_passes,unknown_passes,unknown_fb,social_calls,Comments,,
1,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,20:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
2,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,20:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
3,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,20:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
4,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,20:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
5,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,20:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
6,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,20:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
7,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,20:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
8,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,20:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
9,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,20:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
10,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,20:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
11,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,21:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
12,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,21:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
13,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,21:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
14,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,21:18:00,1,0,0,0,0,0,0,0,0,0,0,0,,1,0
15,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,21:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
16,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,21:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
17,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,21:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
18,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,21:42:00,0,0,0,0,0,0,0,0,1,0,0,0,v distant,1,1
19,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,21:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
20,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,21:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
21,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
22,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,22:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
23,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,22:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
24,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,22:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
25,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,22:24:00,1,0,0,0,0,0,0,0,0,0,0,0,v distant,1,1
26,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,22:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
27,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,22:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
28,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,22:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
29,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,22:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
30,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,22:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
31,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
32,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,23:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
33,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,23:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
34,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,23:18:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
35,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,23:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
36,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,23:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
37,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,23:36:00,0,0,1,0,0,0,0,0,0,0,0,0,,1,0
38,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,23:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
39,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,23:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
40,Emma Little,1,2,a,5,Experimental,Control,18/05/2023,18/05/2023,23:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
41,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
42,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,00:06:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
43,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,00:12:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
44,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,00:18:00,1,0,0,0,0,0,0,0,0,0,0,3,,1,0
45,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,00:24:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
46,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,00:30:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
47,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,00:36:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
48,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,00:42:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
49,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,00:48:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
50,Emma Little,1,2,a,5,Experimental,Control,19/05/2023,18/05/2023,00:54:00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
