Date,Site,Surveyor,Sample_point,Long,Lat,Accuracy,Compass_direction_to_understorey_canopy_cover_measurement,Para_0_value,Para_255_value,Perp_0_value,Perp_255_value,Comments
26/05/2023,Silwood,Poorvi,SA,51.41265,0.16471,4,S,5923741,1228067,5772651,1379157,
26/05/2023,Silwood,Poorvi,SA,51.41265,0.16471,4,W,6423352,728456,6406117,745691,Adjusted threshold to 10 for W1 and 2 to reduce contrast issue 
26/05/2023,Silwood,Poorvi,SA,51.41265,0.16471,4,N,5947799,1204009,5987507,1164301,
26/05/2023,Silwood,Poorvi,SA,51.41265,0.16471,4,E,5665700,1486108,5224689,1927119,
05/11/2023,Silwood,Emma,S122,51.41408,0.64797,4,S,3815417,3348743,3828760,3335400,
05/11/2023,Silwood,Emma,S122,51.41408,0.64797,4,W,4381035,2783125,4664594,2499566,
05/11/2023,Silwood,Emma,S122,51.41408,0.64797,4,N,4296655,2867505,4237935,2926225,
05/11/2023,Silwood,Emma,S122,51.41408,0.64797,4,E,6046024,1118136,5870017,1294143,
05/11/2023,Silwood,Emma,S111,51.4146,0.65258,3,S,114890,7049270,308686,6855474,Adjusted starting threshold to 75 to remove cloud issue
05/11/2023,Silwood,Emma,S111,51.4146,0.65258,3,W,2702596,4461564,3495631,3668529,
05/11/2023,Silwood,Emma,S111,51.4146,0.65258,3,N,216075,6948085,437155,6727005,Adjusted starting threshold to 100 for S1 and 75 for S2 to remove cloud issue
05/11/2023,Silwood,Emma,S111,51.4146,0.65258,3,E,0,7164160,0,7164160,Adjusted starting threshold to 50 to remove cloud issue (no canopy present)
05/11/2023,Silwood,Emma,S113,51.41383,0.65189,5,S,4942692,2221468,4817180,2346980,
05/11/2023,Silwood,Emma,S113,51.41383,0.65189,5,W,5170062,1994098,5234908,1929252,
05/11/2023,Silwood,Emma,S113,51.41383,0.65189,5,N,5008071,2156089,4956347,2207813,
05/11/2023,Silwood,Emma,S113,51.41383,0.65189,5,E,3942274,3221886,3753074,3411086,
05/11/2023,Silwood,Emma,S131,51.41306,0.65134,3,S,243008,6921152,20,7164140,Adjusted starting threshold to 75 for S1 and 50 for S2 to remove cloud issue
05/11/2023,Silwood,Emma,S131,51.41306,0.65134,3,W,1249,7162911,4986,7159174,Adjusted starting threshold to 50 to remove cloud issue
05/11/2023,Silwood,Emma,S131,51.41306,0.65134,3,N,4662193,2501967,4892030,2272130,
05/11/2023,Silwood,Emma,S131,51.41306,0.65134,3,E,2027141,5137019,1770253,5393907,Adjusted starting threshold to 75 to remove cloud issue
05/11/2023,Silwood,Emma,S132,51.41295,0.65015,5,S,3567085,3597075,3584279,3579881,
05/11/2023,Silwood,Emma,S132,51.41295,0.65015,5,W,3695741,3468419,3443127,3721033,
05/11/2023,Silwood,Emma,S132,51.41295,0.65015,5,N,3955426,3208734,3852678,3311482,
05/11/2023,Silwood,Emma,S132,51.41295,0.65015,5,E,4288363,2875797,4519542,2644618,
05/11/2023,Silwood,Emma,S123,51.41358,0.64895,5,S,4153279,3010881,4184681,2979479,
05/11/2023,Silwood,Emma,S123,51.41358,0.64895,5,W,4033817,3130343,3635988,3528172,
05/11/2023,Silwood,Emma,S123,51.41358,0.64895,5,N,2960206,4203954,2838935,4325225,
05/11/2023,Silwood,Emma,S123,51.41358,0.64895,5,E,4855877,2308283,4895541,2268619,
05/11/2023,Silwood,Emma,S121,51.41447,0.64945,5,S,5986366,1177794,6022146,1142014,
05/11/2023,Silwood,Emma,S121,51.41447,0.64945,5,W,6231793,932367,6320783,843377,
05/11/2023,Silwood,Emma,S121,51.41447,0.64945,5,N,6171917,992243,6212734,951426,
05/11/2023,Silwood,Emma,S121,51.41447,0.64945,5,E,6130579,1033581,6092928,1071232,
05/11/2023,Silwood,Emma,S112,51.41471,0.65095,8,S,6327358,836802,5904456,1259704,
05/11/2023,Silwood,Emma,S112,51.41471,0.65095,8,W,5899246,1264914,6132591,1031569,
05/11/2023,Silwood,Emma,S112,51.41471,0.65095,8,N,4402514,2761646,4217901,2946259,
05/11/2023,Silwood,Emma,S112,51.41471,0.65095,8,E,4086784,3077376,3852772,3311388,
26/05/2023,Silwood,Poorvi,S211,51.41378,0.64383,5,S,5727942,1423866,5986816,1164992,
26/05/2023,Silwood,Poorvi,S211,51.41378,0.64383,5,W,5812818,1338990,5687779,1464029,
26/05/2023,Silwood,Poorvi,S211,51.41378,0.64383,5,N,5249615,1902193,4626005,2525803,
26/05/2023,Silwood,Poorvi,S211,51.41378,0.64383,5,E,5130021,2021787,5490933,1660875,
26/05/2023,Silwood,Poorvi,S212,51.41365,0.64237,7,S,5551496,1600312,5201590,1950218,
26/05/2023,Silwood,Poorvi,S212,51.41365,0.64237,7,W,5193164,1958644,5345420,1806388,
26/05/2023,Silwood,Poorvi,S212,51.41365,0.64237,7,N,5545673,1606135,5463934,1687874,
26/05/2023,Silwood,Poorvi,S212,51.41365,0.64237,7,E,3953676,3198132,4080700,3071108,
26/05/2023,Silwood,Poorvi,S221,51.41342,0.64107,5,S,0,7151808,0,7151808,Adjusted threshold to 100 due to cloud issue 
26/05/2023,Silwood,Poorvi,S221,51.41342,0.64107,5,W,0,7151808,0,7151808,Adjusted threshold to 100 due to cloud issue 
26/05/2023,Silwood,Poorvi,S221,51.41342,0.64107,5,N,0,7151808,0,7151808,Adjusted threshold to 100 due to cloud issue 
26/05/2023,Silwood,Poorvi,S221,51.41342,0.64107,5,E,0,7151808,0,7151808,Adjusted threshold to 100 due to cloud issue 
26/05/2023,Silwood,Poorvi,S222,51.41328,0.63945,5,S,5554848,1596960,5425108,1726700,
26/05/2023,Silwood,Poorvi,S222,51.41328,0.63945,5,W,5562550,1589258,5532136,1619672,
26/05/2023,Silwood,Poorvi,S222,51.41328,0.63945,5,N,5472305,1679503,5310806,1841002,
