Sample_point,Date,Time,Rel_dB,Comment
B111,02/05/2023,21:00,-54.24,
B111,02/05/2023,21:06,-54.49,
B111,02/05/2023,21:12,-46.89,Helicopter
B111,02/05/2023,21:18,-54.89,
B111,02/05/2023,21:24,-55.01,
B111,02/05/2023,21:30,-54.37,
B111,02/05/2023,21:36,-54.79,
B111,02/05/2023,21:42,-54.73,
B111,02/05/2023,21:48,-54.91,
B111,02/05/2023,21:54,-54.46,
B111,02/05/2023,22:00,-54.73,
B112,02/05/2023,21:00,-48.4,
B112,02/05/2023,21:06,-48.33,
B112,02/05/2023,21:12,-41.02,Helicopter
B112,02/05/2023,21:18,-57.84,
B112,02/05/2023,21:24,-58.31,
B112,02/05/2023,21:30,-56.09,
B112,02/05/2023,21:36,-55.87,
B112,02/05/2023,21:42,-58.21,
B112,02/05/2023,21:48,-58.39,
B112,02/05/2023,21:54,-57.81,
B112,02/05/2023,22:00,-57.99,
B113,02/05/2023,21:00,-55.59,
B113,02/05/2023,21:06,-54.74,
B113,02/05/2023,21:12,-30.98,Helicopter
B113,02/05/2023,21:18,-55.86,
B113,02/05/2023,21:24,-56.04,
B113,02/05/2023,21:30,-52.85,
B113,02/05/2023,21:36,-55.28,
B113,02/05/2023,21:42,-56.08,
B113,02/05/2023,21:48,-55,
B113,02/05/2023,21:54,-56.48,
B113,02/05/2023,22:00,-55.84,
B121,02/05/2023,21:00,-47.2,
B121,02/05/2023,21:06,-45.76,
B121,02/05/2023,21:12,-24.52,Helicopter
B121,02/05/2023,21:18,-45.92,
B121,02/05/2023,21:24,-49.98,
B121,02/05/2023,21:30,-44.7,
B121,02/05/2023,21:36,-48.96,
B121,02/05/2023,21:42,-51.72,
B121,02/05/2023,21:48,-46.09,
B121,02/05/2023,21:54,-49.85,
B121,02/05/2023,22:00,-46.37,
B122,02/05/2023,21:00,-55.8,
B122,02/05/2023,21:06,-52.15,
B122,02/05/2023,21:12,-29.99,Helicopter
B122,02/05/2023,21:18,-53.48,
B122,02/05/2023,21:24,-56.28,
B122,02/05/2023,21:30,-51.53,
B122,02/05/2023,21:36,-54.72,
B122,02/05/2023,21:42,-55.54,
B122,02/05/2023,21:48,-54.61,
B122,02/05/2023,21:54,-57.95,
B122,02/05/2023,22:00,-54.62,
B123,02/05/2023,21:00,-49.48,
B123,02/05/2023,21:06,-46.23,
B123,02/05/2023,21:12,-29.73,Helicopter
B123,02/05/2023,21:18,-43.73,
B123,02/05/2023,21:24,-53.07,
B123,02/05/2023,21:30,-42.1,
B123,02/05/2023,21:36,-48.2,
B123,02/05/2023,21:42,-53.14,
B123,02/05/2023,21:48,-45.38,
B123,02/05/2023,21:54,-48.01,
B123,02/05/2023,22:00,-45.31,
B132,02/05/2023,21:00,-45.13,
B132,02/05/2023,21:06,-47.61,
B132,02/05/2023,21:12,-31.64,Helicopter
B132,02/05/2023,21:18,-47.44,
B132,02/05/2023,21:24,-43.34,
B132,02/05/2023,21:30,-43.23,
B132,02/05/2023,21:36,-43.37,
B132,02/05/2023,21:42,-46.92,
B132,02/05/2023,21:48,-45.32,
B132,02/05/2023,21:54,-49.78,
B132,02/05/2023,22:00,-46.73,
B133,02/05/2023,21:00,-46.69,
B133,02/05/2023,21:06,-43.78,
B133,02/05/2023,21:12,-19.49,Helicopter
B133,02/05/2023,21:18,-46.56,
B133,02/05/2023,21:24,-49.29,
B133,02/05/2023,21:30,-42.49,
B133,02/05/2023,21:36,-48.28,
B133,02/05/2023,21:42,-44.09,
B133,02/05/2023,21:48,-44.06,
B133,02/05/2023,21:54,-51.69,
B133,02/05/2023,22:00,-46.21,
B211,02/05/2023,21:00,-56.14,
B211,02/05/2023,21:06,-52.4,
B211,02/05/2023,21:12,-42.34,
B211,02/05/2023,21:18,-48.24,
B211,02/05/2023,21:24,-55.84,
B211,02/05/2023,21:30,-54.86,
B211,02/05/2023,21:36,-54.59,
B211,02/05/2023,21:42,-52.36,
B211,02/05/2023,21:48,-47.5,
B211,02/05/2023,21:54,-53.77,
B211,02/05/2023,22:00,-56.6,
B212,02/05/2023,21:00,-53.01,
B212,02/05/2023,21:06,-50.6,
B212,02/05/2023,21:12,-36.63,
B212,02/05/2023,21:18,-45.21,
B212,02/05/2023,21:24,-46.33,
B212,02/05/2023,21:30,-50.95,
B212,02/05/2023,21:36,-54.01,
B212,02/05/2023,21:42,-46.41,
B212,02/05/2023,21:48,-44.27,
B212,02/05/2023,21:54,-52.99,
B212,02/05/2023,22:00,-33.17,
B213,02/05/2023,21:00,-30.78,"constant noise at low frequency, all files"
B213,02/05/2023,21:06,-28.28,"constant noise at low frequency, all files"
B213,02/05/2023,21:12,-19.6,"constant noise at low frequency, all files"
B213,02/05/2023,21:18,-26.82,"constant noise at low frequency, all files"
B213,02/05/2023,21:24,-28.9,"constant noise at low frequency, all files"
B213,02/05/2023,21:30,-37.01,"constant noise at low frequency, all files"
B213,02/05/2023,21:36,-19.52,"constant noise at low frequency, all files"
B213,02/05/2023,21:42,-23.59,"constant noise at low frequency, all files"
B213,02/05/2023,21:48,-31.09,"constant noise at low frequency, all files"
B213,02/05/2023,21:54,-27.56,"constant noise at low frequency, all files"
B213,02/05/2023,22:00,-32.96,"constant noise at low frequency, all files"
B213,02/05/2023,21:00,-45.49,repeat using just 1-2khz to exclude constant interference at low level
B213,02/05/2023,21:06,-43.16,repeat using just 1-2khz to exclude constant interference at low level
