"Sample_point","Site","date","total_bat_passes","total_bat_fb","total_bat_activity","com_pip_passes","sop_pip_passes","nat_pip_passes","noid_pip_passes","nls_passes","myotis_passes","unknown_passes","com_pip_fb","sop_pip_fb","noid_pip_fb","social_calls","mins_rec","total_feeding_rate","com_pip_feeding_rate","sop_pip_feeding_rate","lux","Distance_from_water_body","Distance_from_building","Distance_from_woodland","Distance_from_woodland_edge","Distance_from_road","Distance_from_rail","Distance_from_any_artificial_light","Distance_from_streetlamp","No_streetlamps_within_10m","No_streetlamps_within_25m","No_streetlamps_within_50m","No_streetlamps_within_100m","tree_density","mean_gap","canopy_cover","Invert_count","Sun_rise","Sun_set","Moon_rise","Moon_set","Moon_illumination_meridian_passing","Mean_temp_night","Mean_wind_speed_night","Mean_rainfall_last_3hrs_night","mean_dB","var_amp","amp"
"B111","Barnes","02/05/2023",13,0,8,3,10,0,0,0,0,0,0,0,0,0,102,0,0,0,0.01,197,161,0,7,153,551,96,96,0,0,0,1,221.937864333545,0.231372955796632,0.768627044203368,17,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-53.9554545454545,0.206919759987903,2.27176621395275
"B111","Barnes","05/05/2023",42,3,29,7,33,0,2,0,0,0,0,3,0,6,102,0.0714285714285714,0,0.0909090909090909,0.01,197,161,0,7,153,551,96,96,0,0,0,1,221.937864333545,0.231372955796632,0.768627044203368,17,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-53.9554545454545,0.206919759987903,2.27176621395275
"B111","Barnes","06/05/2023",14,0,12,4,10,0,0,0,0,0,0,0,0,12,102,0,0,0,0.01,197,161,0,7,153,551,96,96,0,0,0,1,221.937864333545,0.231372955796632,0.768627044203368,17,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-53.9554545454545,0.206919759987903,2.27176621395275
"B112","Barnes","06/05/2023",12,0,8,4,5,0,0,3,0,0,0,0,0,5,102,0,0,0,0.015,176,100,0,37,121,552,30,30,0,0,5,9,979.621425300193,0.365127471329507,0.634872528670493,3,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-54.3872727272727,3.8253582327543,2.16158703721623
"B112","Barnes","05/05/2023",16,0,11,1,15,0,0,0,0,0,0,0,0,4,102,0,0,0,0.015,176,100,0,37,121,552,30,30,0,0,5,9,979.621425300193,0.365127471329507,0.634872528670493,3,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-54.3872727272727,3.8253582327543,2.16158703721623
"B112","Barnes","02/05/2023",25,0,13,2,23,0,0,0,0,0,0,0,0,0,102,0,0,0,0.015,176,100,0,37,121,552,30,30,0,0,5,9,979.621425300193,0.365127471329507,0.634872528670493,3,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-54.3872727272727,3.8253582327543,2.16158703721623
"B113","Barnes","06/05/2023",126,2,42,29,91,0,2,4,0,0,0,2,0,43,102,0.0158730158730159,0,0.021978021978022,0.035,252,125,0,11,90,488,29,29,0,0,2,6,1616.12080503018,0.347857163296185,0.652142836703815,6,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-53.1581818181818,28.4790976319224,2.49016011499353
"B113","Barnes","05/05/2023",192,9,54,40,151,0,1,0,0,0,5,4,0,87,102,0.046875,0.125,0.0264900662251656,0.035,252,125,0,11,90,488,29,29,0,0,2,6,1616.12080503018,0.347857163296185,0.652142836703815,6,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-53.1581818181818,28.4790976319224,2.49016011499353
"B113","Barnes","02/05/2023",24,2,12,0,15,0,9,0,0,0,0,2,0,0,102,0.0833333333333333,NA,0.133333333333333,0.035,252,125,0,11,90,488,29,29,0,0,2,6,1616.12080503018,0.347857163296185,0.652142836703815,6,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-53.1581818181818,28.4790976319224,2.49016011499353
"B121","Barnes","02/05/2023",10,1,9,0,6,0,1,2,1,0,0,1,0,2,102,0.1,NA,0.166666666666667,4.185,262,141,31,31,65,896,0,0,1,2,8,17,72.4309642372114,0.327370375591835,0.672629624408165,4,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-45.5518181818182,41.2509146734839,5.97785607425026
"B121","Barnes","05/05/2023",86,38,25,22,59,0,5,0,0,0,13,23,2,20,102,0.441860465116279,0.590909090909091,0.389830508474576,4.185,262,141,31,31,65,896,0,0,1,2,8,17,72.4309642372114,0.327370375591835,0.672629624408165,4,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-45.5518181818182,41.2509146734839,5.97785607425026
"B121","Barnes","06/05/2023",157,58,39,12,141,0,3,1,0,0,1,57,0,92,102,0.369426751592357,0.0833333333333333,0.404255319148936,4.185,262,141,31,31,65,896,0,0,1,2,8,17,72.4309642372114,0.327370375591835,0.672629624408165,4,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-45.5518181818182,41.2509146734839,5.97785607425026
"B122","Barnes","06/05/2023",5,0,5,2,2,0,0,1,0,0,0,0,0,9,102,0,0,0,0.01,107,37,0,13,13,570,17,17,0,4,10,23,1178.87601539907,0.217174239547972,0.782825760452028,4,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-52.4245454545455,50.3553715349462,2.70962437791333
"B122","Barnes","02/05/2023",7,0,5,1,4,0,1,0,0,1,0,0,0,9,102,0,0,0,0.01,107,37,0,13,13,570,17,17,0,4,10,23,1178.87601539907,0.217174239547972,0.782825760452028,4,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-52.4245454545455,50.3553715349462,2.70962437791333
"B122","Barnes","05/05/2023",14,0,13,6,6,0,1,1,0,0,0,0,0,8,102,0,0,0,0.01,107,37,0,13,13,570,17,17,0,4,10,23,1178.87601539907,0.217174239547972,0.782825760452028,4,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-52.4245454545455,50.3553715349462,2.70962437791333
"B123","Barnes","06/05/2023",59,62,20,4,50,0,5,0,0,0,0,62,0,27,102,1.05084745762712,0,1.24,1.05,221,169,0,0,9,485,18,18,0,1,4,13,98.7616218510088,0.81711955763132,0.18288044236868,6,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-45.8527272727273,15.3469774688937,5.77430872713986
"B123","Barnes","05/05/2023",45,33,13,4,36,0,3,2,0,0,1,32,0,18,102,0.733333333333333,0.25,0.888888888888889,1.05,221,169,0,0,9,485,18,18,0,1,4,13,98.7616218510088,0.81711955763132,0.18288044236868,6,"05:25","20:29","20:35","05:13","0.993",12.8,1.1,0,-45.8527272727273,15.3469774688937,5.77430872713986
"B123","Barnes","02/05/2023",4,0,4,0,2,1,1,0,0,0,0,0,0,0,102,0,NA,0,1.05,221,169,0,0,9,485,18,18,0,1,4,13,98.7616218510088,0.81711955763132,0.18288044236868,6,"05:31","20:24","16:40","04:37","0.914",8.5,2.7,0,-45.8527272727273,15.3469774688937,5.77430872713986
"B132","Barnes","06/05/2023",43,1,28,25,15,0,1,2,0,0,1,0,0,4,102,0.0232558139534884,0.04,0,2.605,337,151,0,7,7,360,6,6,1,2,5,15,461.488230319546,0.690034979676612,0.309965020323388,1,"05:23","20:31","22:01","05:31","0.999",12.9,2.5,0,-44.5918181818182,3.93701119384482,6.67644774985191
