Date,Site,Surveyor,Sample_point,Tree_ID,Long,Lat,Accuracy,Lux_positioning,Actual_proxy,Lux_Night_1,Lux_Night_2,UV_Night_1,UV_Night_2,Comments
03/05/2023,Silwood,Poorvi     ,S111,Concrete fence pole,51.4146,0.65258,3,Horizontal,actual,0.08,0.08,6,2,
03/05/2023,Silwood,Poorvi     ,S111,Concrete fence pole,51.4146,0.65258,3,Vertical,proxy,0.08,0.08,na,na,
03/05/2023,Silwood,Poorvi     ,S112,Sycamore,51.41471,0.65095,8,Horizontal,actual,0.01,0.03,1,1,
03/05/2023,Silwood,Poorvi     ,S112,Sycamore,51.41471,0.65095,8,Vertical,proxy,0.01,0.03,na,na,
03/05/2023,Silwood,Poorvi     ,S113,Oak,51.41383,0.65189,5,Horizontal,actual,0.02,0.02,1,0,
03/05/2023,Silwood,Poorvi     ,S113,Oak,51.41383,0.65189,5,Vertical,proxy,0.02,0.02,na,na,
03/05/2023,Silwood,Poorvi     ,S121,Sycamore,51.41447,0.64945,5,Horizontal,actual,0.02,0.02,1,1,
03/05/2023,Silwood,Poorvi     ,S121,Sycamore,51.41447,0.64945,5,Vertical,proxy,0.02,0.02,na,na,
03/05/2023,Silwood,Poorvi     ,S122,Silver birch,51.41408,0.64797,4,Horizontal,actual,0.01,0.01,4,5,
03/05/2023,Silwood,Poorvi     ,S122,Silver birch,51.41408,0.64797,4,Vertical,proxy,0.01,0.01,na,na,
03/05/2023,Silwood,Poorvi     ,S123,birch,51.41358,0.64895,5,Horizontal,actual,0.03,0.02,2,2,
03/05/2023,Silwood,Poorvi     ,S123,birch,51.41358,0.64895,5,Vertical,proxy,0.03,0.02,na,na,
03/05/2023,Silwood,Poorvi     ,S131,Wooden Pole ,51.41306,0.65134,3,Horizontal,actual,0.07,0.07,3,1,
03/05/2023,Silwood,Poorvi     ,S131,Wooden Pole ,51.41306,0.65134,3,Vertical,proxy,0.07,0.07,na,na,
03/05/2023,Silwood,Poorvi     ,S132,"Not oak, oak shaped leaf",51.41295,0.65015,5,Horizontal,actual,0.03,0.03,1,2,
03/05/2023,Silwood,Poorvi     ,S132,"Not oak, oak shaped leaf",51.41295,0.65015,5,Vertical,proxy,0.03,0.03,na,na,
03/05/2023,Silwood,Poorvi     ,S211,Oak,51.41378,0.64383,5,Horizontal,actual,0.03,0.02,3,2,
03/05/2023,Silwood,Poorvi     ,S211,Oak,51.41378,0.64383,5,Vertical,proxy,0.03,0.02,na,na,
03/05/2023,Silwood,Poorvi     ,S212,Oak,51.41365,0.64237,7,Horizontal,actual,0.01,0.01,2,2,
03/05/2023,Silwood,Poorvi     ,S212,Oak,51.41365,0.64237,7,Vertical,proxy,0.01,0.01,na,na,
03/05/2023,Silwood,Poorvi     ,S213,Wooden Pole ,51.41299,0.64329,4,Horizontal,actual,0.08,0.06,1,1,
03/05/2023,Silwood,Poorvi     ,S213,Wooden Pole ,51.41299,0.64329,4,Vertical,proxy,0.08,0.06,na,na,
03/05/2023,Silwood,Poorvi     ,S221,Wooden Pole ,51.41342,0.64107,5,Horizontal,actual,0.06,0.07,1,2,
03/05/2023,Silwood,Poorvi     ,S221,Wooden Pole ,51.41342,0.64107,5,Vertical,proxy,0.06,0.07,na,na,
03/05/2023,Silwood,Poorvi     ,S222,Oak,51.41328,0.63945,5,Horizontal,actual,0.01,0.02,1,1,
23/05/2023,Silwood,Poorvi     ,S222,Oak,51.41328,0.63945,5,Vertical,actual,0.01,0.01,na,na,
03/05/2023,Silwood,Poorvi     ,S223,Oak,51.41275,0.64052,7,Horizontal,actual,0.02,0.02,2,0,
03/05/2023,Silwood,Poorvi     ,S223,Oak,51.41275,0.64052,7,Vertical,proxy,0.02,0.02,na,na,
03/05/2023,Silwood,Poorvi     ,S231,Wooden Pole ,51.41213,0.64279,3,Horizontal,actual,0.09,0.1,1,1,
03/05/2023,Silwood,Poorvi     ,S231,Wooden Pole ,51.41213,0.64279,3,Vertical,proxy,0.09,0.1,na,na,
03/05/2023,Silwood,Poorvi     ,S232,Oak ,51.412,0.64152,6,Horizontal,actual,0.02,0.02,1,1,
23/05/2023,Silwood,Poorvi     ,S232,Oak ,51.412,0.64152,6,Vertical,actual,0.01,0.01,na,na,
03/05/2023,Silwood,Poorvi     ,S233,Maple,51.41116,0.64221,5,Horizontal,actual,0.02,0.02,5,1,
23/05/2023,Silwood,Poorvi     ,S233,Maple,51.41116,0.64221,5,Vertical,actual,0.11,0.16,na,na,
03/05/2023,Silwood,Poorvi     ,S321,Birch,51.40924,0.64654,7,Horizontal,actual,0.01,0.01,0.01,0.01,
03/05/2023,Silwood,Poorvi     ,S321,Birch,51.40924,0.64654,7,Vertical,actual,0.01,0,na,na,
