"Metadata below refer to each dataset, alphabetically",
3HRLY_ENVIRONMENTAL_DATA,
Date,dd/mm/yyyy; date of record taken from online sources below
Site,"Silwood or Barnes refers to Silwood Park, Berkshire, SL5 7PY and Barnes Common, SW13 respectively"
Time,Nearest hour of the record taken from sources below (<5mins from)
Air_temp,"Temperature in degrees C, recording taken from time nearest to the hour, every three hours, source for Barnes: Weather station 7 Washington Road, SW13,  https://wow.metoffice.gov.uk/observations/details/20230501semho4xexce65rj4rymrfqirmr and for Silwood: Weather station Sunninghill, https://wow.metoffice.gov.uk/observations/details/?site_id=4c3f2be3-8bf2-e911-b862-0003ff599e2a"
Wind_speed,"Wind speed in knots, recording taken from time nearest to the hour, every three hours, source for Barnes: Weather station 7 Washington Road, SW13,  https://wow.metoffice.gov.uk/observations/details/20230501semho4xexce65rj4rymrfqirmr and for Silwood: Weather station Sunninghill, https://wow.metoffice.gov.uk/observations/details/?site_id=4c3f2be3-8bf2-e911-b862-0003ff599e2a"
Rainfall_accumulation,"Rainfall accumulation, recording taken from time nearest to the hour, every three hours, source for Barnes: Weather station 7 Washington Road, SW13,  https://wow.metoffice.gov.uk/observations/details/20230501semho4xexce65rj4rymrfqirmr and for Silwood: Weather station Sunninghill, https://wow.metoffice.gov.uk/observations/details/?site_id=4c3f2be3-8bf2-e911-b862-0003ff599e2a"
Rainfall_last_3hrs,"Rainfall accumulation over previous 3hrs (mm/3hrs), calculated from Rainfall_accumulation data (the change between current and previous recording)"
,
3HRLY_ENVIRONMENTAL_DATA_MANIPULATION_STUDY,
Date,dd/mm/yyyy; refers to the record taken from online sources below
Start_date,Date of the treatment starting time - treatments started 1.5-2hrs before sunset; dd/mm/yyyy
day_night,Assigned day or night to each record taken: day was taken as 9am-3pm records and night 6pm to 6am records
Time,Nearest hour of the record taken from sources below (<5mins from)
Air_temp,"Temperature in degrees C, recording taken from time nearest to the hour, every three hours, source for Barnes: Weather station 7 Washington Road, SW13,  https://wow.metoffice.gov.uk/observations/details/20230501semho4xexce65rj4rymrfqirmr and for Silwood: Weather station Sunninghill, https://wow.metoffice.gov.uk/observations/details/?site_id=4c3f2be3-8bf2-e911-b862-0003ff599e2a"
Wind_speed,"Wind speed in knots, recording taken from time nearest to the hour, every three hours, source for Barnes: Weather station 7 Washington Road, SW13,  https://wow.metoffice.gov.uk/observations/details/20230501semho4xexce65rj4rymrfqirmr and for Silwood: Weather station Sunninghill, https://wow.metoffice.gov.uk/observations/details/?site_id=4c3f2be3-8bf2-e911-b862-0003ff599e2a"
Rainfall_accumulation,"Rainfall accumulation, recording taken from time nearest to the hour, every three hours, source for Barnes: Weather station 7 Washington Road, SW13,  https://wow.metoffice.gov.uk/observations/details/20230501semho4xexce65rj4rymrfqirmr and for Silwood: Weather station Sunninghill, https://wow.metoffice.gov.uk/observations/details/?site_id=4c3f2be3-8bf2-e911-b862-0003ff599e2a"
Rainfall_last_3hrs,"Rainfall accumulation over previous 3hrs (mm/3hrs), calculated from Rainfall_accumulation data (the change between current and previous recording)"
,
BAT_DATA,
Site,"Silwood or Barnes refers to Silwood Park, Berkshire, SL5 7PY and Barnes Common, SW13 respectively"
Sample_point,Unique ID for sample point
Date,Date of the sound file dd/mm/yyyy
Start_date,Date of the sunset before the sound file was recorded dd/mm/yyyy
Time,Time of the sound file
com_pip_passes,Count of Common Pipistrelle (Pipistrellus pipistrellus) passes within the sound file
com_pip_fb,Count of Common Pipistrelle (Pipistrellus pipistrellus) feeding buzzes within the sound file
sop_pip_passes,Count of Soprano Pipistrelle (Pipistrellus pygmaeus) passes within the sound file
sop_pip_fb,Count of Soprano Pipistrelle (Pipistrellus pygmaeus) feeding buzzes within the sound file
nat_pip_passes,Count of Nathusius Pipistrelle (Pipistrellus nathusii) passes within the sound file
noid_pip_passes,Count of Pipistrelle passes within the sound file that could not be separated between Common and Soprano Pipistrelle within the sound file
noid_pip_fb,Count of Pipistrelle feeding buzzes within the sound file that could not be separated between Common and Soprano Pipistrelle within the sound file
nls_passes,Count of Nyctalus and Eptesicus species passes within the sound file
myotis_passes,Count of Myotis species passes within the sound file
unknown_passes,Count of unidentified bat species passes within the sound file
social_calls,Count of D-type social calls within the sound file
,
BAT_DAT_AUTO_ANALYSIS_RAW,
Site,"Silwood or Barnes refers to Silwood Park, Berkshire, SL5 7PY and Barnes Common, SW13 respectively"
Sample_point,Unique ID for sample point
Date,Date of the sound file dd/mm/yyyy
Time,Time of the sound file dd/mm/yyyy
Sonobat_filtered_tolerant,Sonobat automated filtering software filtered out the file as having bats - 1; not having bats - 0
com_pip_passes,Count of Common Pipistrelle (Pipistrellus pipistrellus) passes within the sound file
com_pip_fb,Count of Common Pipistrelle (Pipistrellus pipistrellus) feeding buzzes within the sound file
sop_pip_passes,Count of Soprano Pipistrelle (Pipistrellus pygmaeus) passes within the sound file
sop_pip_fb,Count of Soprano Pipistrelle (Pipistrellus pygmaeus) feeding buzzes within the sound file
nat_pip_passes,Count of Nathusius Pipistrelle (Pipistrellus nathusii) passes within the sound file
noid_pip_passes,Count of Pipistrelle passes within the sound file that could not be separated between Common and Soprano Pipistrelle within the sound file
noid_pip_fb,Count of Pipistrelle feeding buzzes within the sound file that could not be separated between Common and Soprano Pipistrelle within the sound file
nls_passes,Count of Nyctalus and Eptesicus species passes within the sound file
myotis_passes,Count of Myotis species passes within the sound file
unknown_passes,Count of unidentified bat species passes within the sound file
unknown_fb,Count of unidentified bat species feeding buzzes within the sound file
social_calls,Count of D-type social calls within the sound file
Comments,Any comments on the bat acoustic analysis
Pippip,Confidence level given by Kaleidoscope if bat species Pipistrellus pipistrellus present
Pippyg,Confidence level given by Kaleidoscope if bat species Pipistrellus pygmaeus present
Myonat,Confidence level given by Kaleidoscope if bat species Myotis nattereri present
Nycnoc,Confidence level given by Kaleidoscope if bat species Nyctalus noctule present
Nyclas,Confidence level given by Kaleidoscope if bat species Nyctalus lasiopterus present
NoID,Confidence level given by Kaleidoscope if bat species not identified
Nyclei,Confidence level given by Kaleidoscope if bat species Nyctalus leisleri present
Pleaus,Confidence level given by Kaleidoscope if bat species Plecotus austriacus present
Pleaur,Confidence level given by Kaleidoscope if bat species Plecotus auritus present
Eptser,Confidence level given by Kaleidoscope if bat species Eptesicus serotinus present
Pipnat,Confidence level given by Kaleidoscope if bat species Pipistrellus nathusii present
Myotis,Confidence level given by Kaleidoscope if Myotis present
Barbar,Confidence level given by Kaleidoscope if Barbastella barbastellus present
,
BAT_ANALYSIS_MANIPULATION_STUDY,
Number,Chronological number of observation
Identifier,Person who identified the bats - Emma Little
Transect,"Transect 1, 2 or 3 from map in Figure 4"
Point,"Point 1 to 6 representing 0m, 5m, 10m, 20m, 50m and 100m from the site, or control"
Monitor,Two monitors - a and b - were set at each sample point in case of failures
Distance_from_treatment,Distance in meters from the treatment site
Location,Experimental or Control site
Treatment,"Treatment type at experimental site - light, sound, light and sound, or control"
Date,Date of sound recording DD/MM/YYYY
Start_date,Date of sunset before the sound recording DD/MM/YYYY
Time,Time of sound recording
