Date,Site,Surveyor,Sample_point,Long,Lat,Accuracy,Quarter point,Distance_nearest_tree,Comments
05/12/2023,Silwood,Poorvi,SA,51.41265,0.16471,4,SW,400,
05/12/2023,Silwood,Poorvi,SA,51.41265,0.16471,4,NW,550,
05/12/2023,Silwood,Poorvi,SA,51.41265,0.16471,4,NE,10,
05/12/2023,Silwood,Poorvi,SA,51.41265,0.16471,4,SE,460,
05/11/2023,Silwood,Emma,S122,51.41408,0.64797,4,SW,390,
05/11/2023,Silwood,Emma,S122,51.41408,0.64797,4,NW,2160,"Est - private land, measured to visual halfway point and doubled"
05/11/2023,Silwood,Emma,S122,51.41408,0.64797,4,NE,215,
05/11/2023,Silwood,Emma,S122,51.41408,0.64797,4,SE,120,
05/11/2023,Silwood,Emma,S111,51.4146,0.65258,3,SW,450,
05/11/2023,Silwood,Emma,S111,51.4146,0.65258,3,NW,510,
05/11/2023,Silwood,Emma,S111,51.4146,0.65258,3,NE,3640,
05/11/2023,Silwood,Emma,S111,51.4146,0.65258,3,SE,4820,
05/11/2023,Silwood,Emma,S113,51.41383,0.65189,5,SW,760,
05/11/2023,Silwood,Emma,S113,51.41383,0.65189,5,NW,310,
05/11/2023,Silwood,Emma,S113,51.41383,0.65189,5,NE,1160,
05/11/2023,Silwood,Emma,S113,51.41383,0.65189,5,SE,40,
05/11/2023,Silwood,Emma,S131,51.41306,0.65134,3,SW,680,
05/11/2023,Silwood,Emma,S131,51.41306,0.65134,3,NW,960,
05/11/2023,Silwood,Emma,S131,51.41306,0.65134,3,NE,4370,
05/11/2023,Silwood,Emma,S131,51.41306,0.65134,3,SE,500,
05/11/2023,Silwood,Emma,S132,51.41295,0.65015,5,SW,940,
05/11/2023,Silwood,Emma,S132,51.41295,0.65015,5,NW,50,
05/11/2023,Silwood,Emma,S132,51.41295,0.65015,5,NE,600,
05/11/2023,Silwood,Emma,S132,51.41295,0.65015,5,SE,990,
05/11/2023,Silwood,Emma,S123,51.41358,0.64895,5,SW,540,
05/11/2023,Silwood,Emma,S123,51.41358,0.64895,5,NW,150,
05/11/2023,Silwood,Emma,S123,51.41358,0.64895,5,NE,1130,
05/11/2023,Silwood,Emma,S123,51.41358,0.64895,5,SE,570,
05/11/2023,Silwood,Emma,S121,51.41447,0.64945,5,SW,1210,
05/11/2023,Silwood,Emma,S121,51.41447,0.64945,5,NW,420,
05/11/2023,Silwood,Emma,S121,51.41447,0.64945,5,NE,10,
05/11/2023,Silwood,Emma,S121,51.41447,0.64945,5,SE,260,
05/11/2023,Silwood,Emma,S112,51.41471,0.65095,8,SW,160,
05/11/2023,Silwood,Emma,S112,51.41471,0.65095,8,NW,960,
05/11/2023,Silwood,Emma,S112,51.41471,0.65095,8,NE,1010,
05/11/2023,Silwood,Emma,S112,51.41471,0.65095,8,SE,1190,
05/10/2023,Silwood,Poorvi,S211,51.41378,0.64383,5,SW,7000,Estimated
05/10/2023,Silwood,Poorvi,S211,51.41378,0.64383,5,NW,5000,Estimated
05/10/2023,Silwood,Poorvi,S211,51.41378,0.64383,5,NE,430,
05/10/2023,Silwood,Poorvi,S211,51.41378,0.64383,5,SE,6000,Estimated
05/15/2023,Silwood,Poorvi,S212,51.41365,0.64237,7,SW,1130,
05/15/2023,Silwood,Poorvi,S212,51.41365,0.64237,7,NW,1100,
05/15/2023,Silwood,Poorvi,S212,51.41365,0.64237,7,NE,210,
05/15/2023,Silwood,Poorvi,S212,51.41365,0.64237,7,SE,1200,
05/15/2023,Silwood,Poorvi,S221,51.41342,0.64107,5,SW,9000,Estimated
05/15/2023,Silwood,Poorvi,S221,51.41342,0.64107,5,NW,1100,Estimated
05/15/2023,Silwood,Poorvi,S221,51.41342,0.64107,5,NE,7000,Estimated
05/15/2023,Silwood,Poorvi,S221,51.41342,0.64107,5,SE,6000,Estimated
05/15/2023,Silwood,Poorvi,S222,51.41328,0.63945,5,SW,330,
05/15/2023,Silwood,Poorvi,S222,51.41328,0.63945,5,NW,690,
05/15/2023,Silwood,Poorvi,S222,51.41328,0.63945,5,NE,170,
05/15/2023,Silwood,Poorvi,S222,51.41328,0.63945,5,SE,60,
05/16/2023,Silwood,Poorvi,S223,51.41275,0.64052,7,SW,700,
05/16/2023,Silwood,Poorvi,S223,51.41275,0.64052,7,NW,60,
05/16/2023,Silwood,Poorvi,S223,51.41275,0.64052,7,NE,530,
05/16/2023,Silwood,Poorvi,S223,51.41275,0.64052,7,SE,470,
05/16/2023,Silwood,Poorvi,SG,51.41217,0.63938,8,SW,550,
05/16/2023,Silwood,Poorvi,SG,51.41217,0.63938,8,NW,20,
05/16/2023,Silwood,Poorvi,SG,51.41217,0.63938,8,NE,200,
05/16/2023,Silwood,Poorvi,SG,51.41217,0.63938,8,SE,560,
05/16/2023,Silwood,Poorvi,S232,51.412,0.64152,6,SW,640,
05/16/2023,Silwood,Poorvi,S232,51.412,0.64152,6,NW,1620,Estimated
05/16/2023,Silwood,Poorvi,S232,51.412,0.64152,6,NE,590,
05/16/2023,Silwood,Poorvi,S232,51.412,0.64152,6,SE,20,
05/10/2023,Silwood,Poorvi,S231,51.41213,0.64279,3,SW,1730,Estimated
05/10/2023,Silwood,Poorvi,S231,51.41213,0.64279,3,NW,1900,Estimated
05/10/2023,Silwood,Poorvi,S231,51.41213,0.64279,3,NE,770,
05/10/2023,Silwood,Poorvi,S231,51.41213,0.64279,3,SE,25,
05/10/2023,Silwood,Poorvi,S213,51.41299,0.64329,4,SW,2180,Estimated
05/10/2023,Silwood,Poorvi,S213,51.41299,0.64329,4,NW,1050,
05/10/2023,Silwood,Poorvi,S213,51.41299,0.64329,4,NE,2260,Estimated
05/10/2023,Silwood,Poorvi,S213,51.41299,0.64329,4,SE,1140,
05/10/2023,Silwood,Poorvi,S233,51.41116,0.64221,5,SW,1550,
05/10/2023,Silwood,Poorvi,S233,51.41116,0.64221,5,NW,19,Estimated
05/10/2023,Silwood,Poorvi,S233,51.41116,0.64221,5,NE,770,
05/10/2023,Silwood,Poorvi,S233,51.41116,0.64221,5,SE,25,
05/15/2023,Silwood,Poorvi,S322,51.40923,0.64517,7,SW,520,
05/15/2023,Silwood,Poorvi,S322,51.40923,0.64517,7,NW,340,
05/15/2023,Silwood,Poorvi,S322,51.40923,0.64517,7,NE,30,
05/15/2023,Silwood,Poorvi,S322,51.40923,0.64517,7,SE,630,
05/15/2023,Silwood,Poorvi,S321,51.40924,0.64654,7,SW,15,
05/15/2023,Silwood,Poorvi,S321,51.40924,0.64654,7,NW,710,
05/15/2023,Silwood,Poorvi,S321,51.40924,0.64654,7,NE,1200,
05/15/2023,Silwood,Poorvi,S321,51.40924,0.64654,7,SE,1090,
05/15/2023,Silwood,Poorvi,S323,51.40846,0.64621,6,SW,630,
05/15/2023,Silwood,Poorvi,S323,51.40846,0.64621,6,NW,0,
05/15/2023,Silwood,Poorvi,S323,51.40846,0.64621,6,NE,400,
05/15/2023,Silwood,Poorvi,S323,51.40846,0.64621,6,SE,450,
05/11/2023,Silwood,Emma,S333,51.40701,0.64788,5,SW,9200,Google maps distance measure tool
05/11/2023,Silwood,Emma,S333,51.40701,0.64788,5,NW,1850,
05/11/2023,Silwood,Emma,S333,51.40701,0.64788,5,NE,1570,
05/11/2023,Silwood,Emma,S333,51.40701,0.64788,5,SE,1630,
05/11/2023,Silwood,Emma,S331,51.40795,0.64851,5,SW,2900,
05/11/2023,Silwood,Emma,S331,51.40795,0.64851,5,NW,2570,
05/11/2023,Silwood,Emma,S331,51.40795,0.64851,5,NE,530,
05/11/2023,Silwood,Emma,S331,51.40795,0.64851,5,SE,3020,
05/11/2023,Silwood,Emma,S332,51.40762,0.64695,8,SW,220,
05/11/2023,Silwood,Emma,S332,51.40762,0.64695,8,NW,300,
05/11/2023,Silwood,Emma,S332,51.40762,0.64695,8,NE,880,
05/11/2023,Silwood,Emma,S332,51.40762,0.64695,8,SE,280,
05/16/2023,Silwood,Poorvi,S412,51.40933,0.64138,4,SW,320,
05/16/2023,Silwood,Poorvi,S412,51.40933,0.64138,4,NW,780,
05/16/2023,Silwood,Poorvi,S412,51.40933,0.64138,4,NE,490,
05/16/2023,Silwood,Poorvi,S412,51.40933,0.64138,4,SE,770,
05/16/2023,Silwood,Poorvi,S411,51.4104,0.64177,5,SW,900,
05/16/2023,Silwood,Poorvi,S411,51.4104,0.64177,5,NW,500,
05/16/2023,Silwood,Poorvi,S411,51.4104,0.64177,5,NE,200,
05/16/2023,Silwood,Poorvi,S411,51.4104,0.64177,5,SE,710,
05/16/2023,Silwood,Poorvi,S413,51.41029,0.64031,7,SW,500,
05/16/2023,Silwood,Poorvi,S413,51.41029,0.64031,7,NW,910,
05/16/2023,Silwood,Poorvi,S413,51.41029,0.64031,7,NE,340,
05/16/2023,Silwood,Poorvi,S413,51.41029,0.64031,7,SE,90,
03/05/2023,Barnes,Emma,B122,51.42166,0.23792,6,SW,190,
03/05/2023,Barnes,Emma,B122,51.42166,0.23792,6,NW,430,
